専業,せんぎょう,名詞,special occupation; principal occupation,専業主婦の一日は,N/A,17
苺,いちご,名詞,"strawberry (esp. the garden strawberry, Fragaria x ananassa); 15,000 yen",ジャジャーン！ 苺ちゃんの新しいお洋服～,N/A,11
危惧,きぐ,名詞,apprehension; misgivings,絶滅危惧種だよね この街じゃ,N/A,6
長野,ながの,名詞,"Nagano (city, prefecture)",私 長野です 長野礼子っていいます,N/A,5
保育園,ほいくえん,名詞,nursery school; day nursery,保育園よ 保育園,N/A,5
ご飯,ごめし,名詞,cooked rice; meal,いいから先に ご飯 食べちゃって,N/A,5
シジミ,しじみ,名詞,basket clam (Corbiculidae spp.); freshwater clam,これはね シジミの砂抜きをしてるんだよ,N/A,5
今どき,いまどき,名詞,these days; nowadays; at this time (of day); at this hour,今どき 専業主婦になんかなって どうするんだろうね,N/A,4
ダメ,だめ,名詞,no good; not serving its purpose; hopeless; wasted,そこ のぼっちゃダメだよ 下りよう,N/A,4
片手間,かたてま,名詞,spare time; free time,家事なんて片手間でできるのに 旦那が お金持ちなのかな？,N/A,3
ラーメン,らーめん,名詞,ramen; Chinese-style noodles,ラーメン ラーメン,N/A,3
社内,しゃない,名詞,within a company; in-house; within a shrine; shrine precincts,社内環境の 向上が見込めます 以上です,N/A,3
お子さん,おこさん,名詞,child,下のお子さん 熱があるんですか？,N/A,3
ストック,すとっく,名詞,stock; inventory; stocking up (e.g. on food),足りなければ ストックしてある分から 何か おかず解凍すればいいので,N/A,3
対岸,たいがん,名詞,opposite shore,｢対岸の火事｣と いう言葉がある,N/A,3
火の粉,ひのこな,名詞,sparks,こちらまで火の粉は飛んでこない,N/A,3
パパ,ぱぱ,名詞,dad; daddy; sugar daddy,パパにも見せてあげようね,N/A,2
育休,いくきゅう,名詞,childcare leave (taken after the compulsory childcare leave); maternity leave,もうすぐ育休が終わるの,N/A,2
英会話,えいかいわ,名詞,English conversation; school for English conversation,何か決めた？ うちは英会話やろうかなって思って,N/A,2
廃品,はいひん,名詞,waste; garbage,こちらは廃品回収車です…,N/A,2
隙,げき,名詞,gap; opening; break; interval,母親が目を離した隙に手すりを乗り越え,N/A,2
手すり,てすり,名詞,handrail; railing,母親が目を離した隙に手すりを乗り越え,N/A,2
乗り越える,のりこえ,動詞,"to climb over; to get over; to overcome (a difficulty, obstacle, etc.); to surmount",母親が目を離した隙に手すりを乗り越え,N/A,2
可能性,かのうせい,名詞,potentiality; likelihood,誤って転落した可能性があるとみて,N/A,2
本日,ほんじつ,名詞,today; this day,本日の社内会議は…,N/A,2
ベランダ,べらんだ,名詞,balcony; veranda; verandah,さ～ん！ 篤正くんがベランダに出てる,N/A,2
閉め出す,しめださ,動詞,to shut out; to bar,閉め出されたんですね,N/A,2
保険証,ほけんしょう,名詞,insurance card,保険証 取りに戻ったら閉め出されちゃって,N/A,2
防災,ぼうさい,名詞,disaster preparedness; prevention of damage resulting from a natural disaster,うん あっ ねえ 今井くん 来週の防災セミナーの,N/A,2
セミナー,せみなー,名詞,seminar,うん あっ ねえ 今井くん 来週の防災セミナーの,N/A,2
出欠,しゅっけつ,名詞,attendance or absence,出欠確認の件なんだけど… あっ ちょっと待って待って… 何で？,N/A,2
ハンバーグ,はんばーぐ,名詞,Hamburg steak; hamburger steak,やっぱりハンバーグ,N/A,2
一回,いっかい,名詞,once; one time,ねえ 苺 もう一回 言ってみて,N/A,2
ジャジャーン,じゃじゃーん,名詞,ta-dah!; ta-da!,ジャジャーン！ 苺ちゃんの新しいお洋服～,N/A,1
